word,value
चौधरी,210
तले,210
भीएक,210
विद्यालय,210
तौर,209
मानता,209
तरीका,209
मेले,209
अध्यक्षता,209
बजरंग,209
जयश्रीश्याम,209
गाड़ी,209
नवीन,209
सोचे,209
बताने,208
महोत्सव,208
करै,208
सावधान,208
बङा,208
सुधार,208
यानि,208
शोभा,208
धो,208
टू,208
वतन,208
विभिन्न,208
हिन्दुत्व,208
खुल,207
अली,207
गिरा,207
हास,207
उपस्थित,207
लि,207
बीबी,207
रि,207
व्यवहार,207
कटे,207
आयो,207
माझ,207
मनीष,206
मोती,206
किनारे,206
कश्मीर,206
कदर,206
सुर,206
पड़े,206
कसा,206
अन्त,206
गुण,206
किसकी,206
फौन,206
स्पष्ट,206
नीद,206
चीन,206
करुन,205
पथ,205
मिठाई,205
हथेली,205
सुनाओ,205
खडा,205
मेडम,205
सड़क,205
ठंड,205
स्टेट,205
गन्दु,205
अन्तर्गत,204
गोली,204
केलिए,204
चैन,204
सदस्यों,204
चाहीए,204
मनाते,204
लगाकर,204
सीडी,204
कति,204
घोटाला,204
जयमसिह,204
राजनैतिक,204
कन्हैया,203
ईच्छा,203
नष्ट,203
सका,203
कक्षा,203
फरवरी,203
सुनने,203
आशीष,203
जोधपुर,202
आँसू,202
मंच,202
तेहि,202
आमंत्रित,202
रोल,202
ख़ुद,202
सब्जी,202
आला,202
तारा,202
भूमिका,202
हूवा,201
झाली,201
मस्ती,201
घी,201
तमे,201
डाँ,201
न्यूज,201
नू,201
खूद,201
रहकर,201
मकर,201
पेश,201
गुन,201
देगे,201
रेल,201
येथे,201
उनमें,201
यकीन,200
वैभव,200
विक्रम,200
समिति,200
स्पर्श,200
आवश्यकता,200
तिथि,200
अाया,200
खड़े,200
दर्ज,200
सीट,200
बुक,200
नवरात्रि,200
बाइक,200
शोक,199
दवाई,199
बताये,199
प्रेमी,199
श्रींग,199
आमल,199
साबाश,199
तोड,199
बाट,199
जाल,199
धारण,199
मिश्रा,199
दोसत,198
सोनू,198
केसा,198
देगें,198
हैप्यार,198
वैसा,197
हैमाँ,197
अक्टुबर,197
साग,197
निकाला,197
हमेसा,197
संसद,197
प्रभू,197
कुरा,197
स्नेह,197
ङू,196
दिखाते,196
क्रोध,196
परिषद,196
नाता,196
जायें,196
रिश्तों,196
बनाओ,196
पकड़ा,196
फीस,196
सरल,196
कहकर,195
उक्त,195
फेर,195
लायक,195
फैला,195
पेज,195
मुह,195
खाओ,195
गगन,195
अर्जून,195
चिकित्सालय,195
शिवराम,194
इस्तेमाल,194
हँस,194
दिखाया,194
अाई,194
अहिले,194
धर,194
रावल,194
बहाना,194
पंकज,194
सुभ,194
गुलामी,194
बह,194
रुपए,194
गहेरी,193
होश,193
पाँव,193
कीस,193
ईमानदारी,193
बहुतबहुत,193
आपस,193
किरण,193
चुपचाप,193
बचे,193
खोया,193
हैना,193
पचास,193
मया,193
मनमस्तिष्क,193
अनंत,192
ज़िंदगी,192
सचिन,192
पाये,192
हुन्छ,192
रक्त,192
नागरिक,192
समारोह,192
मेरि,192
हरा,192
रै,192
नौ,192
प्रमाण,192
लगाते,192
सम्बन्ध,192
मामले,192
कवार,192
अापकी,191
थाने,191
दीवाली,191
ै,191
तयार,191
मुख,191
चिन्ता,191
महत्वपूर्ण,191
कस,191
बली,191
वाट,191
अने,191
जला,191
दू,191
सनावद,191
राहत,190
छौ,190
आह,190
शुद्ध,190
शुभरात्रि,190
ममि,189
जयभारत,189
सखा,189
हजूर,189
दैनिक,189
कमरे,189
गुरूजी,189
सास,189
मामला,189
हजारो,189
दुश्मन,189
दिखता,189
प्रित,189
करली,189
जानती,189
सच्ची,189
कर्ज,189
रूह,189
औकात,188
बदलने,188
सोचता,188
जर,188
त्या,188
ू,188
पहुच,188
अकसर,188
दारू,188
वीडियो,188
पशु,188
वैष्णव,188
कछु,188
माली,188
दीवार,188
स्थापित,187
धान,187
मामी,187
कल्पना,187
सत,187
काटने,187
मास्टर,187
निद,187
पडे,187
बचाने,187
हाई,187
निचे,187
कहुँ,187
होर,187
केहि,187
उत्सव,187
मोड,187
पलको,187
अधुना,187
लालिमा,186
मशीन,186
पाना,186
शुभरात्री,186
चावल,186
त्र,186
ठिकै,186
चाची,186
होईन,186
खोली,186
सौरी,186
प्रकट,186
पडा,185
महाप्रभु,185
सच्चिदानन्द,185
काजल,185
कंगन,185
भीम,185
करूगा,185
पै,185
तिमी,185
आम्ही,185
मैले,185
मनाया,184
पोकेट,184
डाले,184
खिला,184
आके,184
भवानी,184
भोपाल,184
फेल,184
यस,184
बादलों,184
तेजी,184
बिधि,184
नहरे,184
मनाने,184
संचालक,184
बरबाद,183
सुनील,183
मोटी,183
नविन,183
रत्न,183
त्याला,183
सायद,183
मौजूद,183
येणार,183
साधारण,183
जिनका,183
लगातार,183
सि,183
अकसरवो,183
सुनते,183
नजराना,183
सालगीराह,183
वापिस,183
अर्चना,183
बाईक,183
राते,183
कयू,182
स्वप्न,182
हमार,182
भटक,182
नुकसान,182
लू,182
करून,182
मय,182
संस्कृत,182
बेल,182
हर्ष,182
करूँ,182
सेहत,182
अमीर,181
भए,181
ऋ,181
भेद,181
टूटे,181
जिवन,181
साँस,181
दुसरो,181
गर्ने,181
उद्देश्य,181
सदस्यो,180
गायब,180
रामराम,180
विद्या,180
आश्रम,180
मारने,180
परछाई,180
नगरी,180
वक़्त,180
चन्द,180
वना,179
पार्क,179
घे,179
डालना,179
म्हणजे,179
बगैर,179
आली,179
दशा,179
चौक,179
थामीला,179
समझदार,179
थाशर्ट,179
जीता,179
माहौल,179
हैअगर,179
सरस्वती,179
छोडो,179
रास,179
इन्द्र,179
घने,178
समझता,178
तीनों,178
हैभारत,178
कपडे,178
कागज,178
अस्पताल,178
बदलते,178
भैय्या,178
करोड,178
बीत,178
यश,178
माझी,178
धन्य,178
तमन्ना,178
हकीकत,178
असा,178
लगि,178
भगवान्,178
वाल्मीक,178
तुजा,178
भगवा,178
करोङ,178
सरकारें,178
मानसिक,177
संस्था,177
दुसरी,177
शुभकामनाये,177
पृथ्वी,177
घूम,177
व्यक्त,177
विधान,177
आसमान,177
जिस्म,177
लङकी,177
स्टेशन,177
राज्यों,177
आसन,176
तसेच,176
सरकारों,176
जाउ,176
पाशर्वनाथ,176
आफ्नो,176
देह,176
किधर,176
यादे,176
हुयी,176
इनको,176
बारह,176
पंजाब,176
मछली,176
लीला,176
निकट,176
राव,176
सांसे,176
श्रद्धा,176
स्वभाव,176
थामेरी,176
सराहनीय,176
गणेशाय,176
सराय,176
बहू,175
रेलवे,175
ट्रक,175
जौ,175
लेख,175
तिलक,175
संकल्प,175
दु,175
दै,175
साठी,175
दोगी,175
उठाया,175
बनारस,175
बाकि,175
चीनी,175
मंगलवार,175
चंद,175
कहिले,175
काहो,175
बाघ,175
युवक,175
असल,175
अहसास,174
मित्रता,174
माई,174
जीद,174
करलो,174
आवा,174
नका,174
कर्मचारी,174
बोहत,174
करूँगा,174
बङे,174
करेगें,174
बारी,173
धा,173
संता,173
गर्ल,173
पत्रकार,173
निधन,173
उपलब्ध,173
नंतर,173
स्वरूप,173
समस्याओं,173
तुमचे,173
स्त्री,173
पछी,173
गोरखपुर,173
गाडरी,173
करतस,173
लबों,173
नास्ति,172
लाईट,172
बदलता,172
संहिता,172
तकदीर,172
जगा,172
उदाहरण,172
पहुचे,172
सोया,172
भाभा,172
नामक,172
नमाज,172
जीजा,172
दरबार,172
भएको,172
जींदगी,172
अध्यापक,172
कमाई,172
चाहने,172
उन्ही,171
हें,171
हटा,171
जोरदार,171
हुऐ,171
थाय,171
रेत,170
सुनाई,170
घरे,170
चोद,170
कलम,170
अंबर,170
चरन,170
आरे,170
अटल,170
हैमै,170
संपर्क,170
उतरा,170
सिस्टम,170
विनंती,170
तूमकृष्ण,170
केस,169
दिखाने,169
पूछो,169
ऊस,169
तुरंत,169
स्वर,169
बोकङा,169
लग्न,169
संकीर्तन,169
ईन,169
आदर्श,169
म्हणून,169
वद,169
एसी,168
महालक्ष्मी,168
लोन,168
थै,168
चरणों,168
हुवे,168
दीजिए,168
तुझको,168
अदा,168
होति,168
वर्षों,168
हवे,168
पि,168
चि,168
आपला,168
श्रवण,168
मुज,168
बैठाकि,168
बजाय,167
जीतनी,167
करोड़,167
सिखा,167
गौतम,167
बीज,167
चींटी,167
आले,167
पेट्रोल,167
कुन,167
उर,166
पती,166
अंदाज,166
तुमे,166
आयोग,166
सुप्रीम,166
अगस्त,166
मीली,166
बोतल,166
प्लीज,166
संग्राम,166
थाफिर,166
विचारों,165
निकलता,165
भरते,165
आर्शिवाद,165
मूर्ख,165
कलर,165
लेगें,165
डाली,165
बुलाया,165
आवो,165
मीठा,165
आएगी,165
शव,165
दिखती,165
पडाव,165
उनकीपर,164
बारपुकार,164
लक्ष्मण,164
बोव,164
कुरान,164
रखकर,164
कइ,164
अवतार,164
रुम,164
सेल,164
ट्रेनिंग,164
सम्पूर्ण,164
मात्रा,164
खूश,163
देखती,163
शख्स,163
उदयपुर,163
जागरण,163
आर्य,163
पहल,163
सम्पर्क,163
बिहारी,163
समृद्धि,163
बदन,163
केली,163
सहज,163
बङी,163
आणी,163
शक,163
गयो,163
आस्था,163
हौले,163
लाखों,163
विदेश,163
किंवा,163
छात्रों,162
होतुम,162
संबंध,162
सहायता,162
पहचाना,162
उपाध्यक्ष,162
लाखो,162
भरपूर,162
फांसी,162
रुक,162
ससुराल,162
त्यो,162
जगदीश,162
भनेको,162
दाऊ,162
शांत,161
किनारा,161
लडके,161
कपासन,161
समझी,161
अन,161
मुहब्बत,161
चीज़,161
करतेतेरे,161
साथसाथ,161
मानना,161
ट्यूशन,161
सफेद,160
अंक,160
चाहिऐ,160
चालेल,160
हँसी,160
कीन्ह,160
शुप्रभात,160
मुक्ति,160
दिखाना,160
गति,160
बादशाह,160
लेखन,160
साहिब,160
दोसतो,160
रेट,160
तूझे,160
द्रख्त,160
कायम,159
पर्वत,159
निजी,159
तै,159
पगली,159
बांध,159
इज्जत,159
दूँगा,159
सेम,159
मोक्ष,159
खेती,159
हामी,159
थीमैने,159
प्रीत,159
देखें,158
पावर,158
सीखा,158
ठाक,158
जीसका,158
घोषणा,158
मैरा,158
दुध,158
अंकल,158
सीधा,158
अग्नि,158
कसे,158
मेंहो,158
पडी,158
सलामत,158
मूबारक,158
बर्बाद,158
सुनिश्चित,158
कहूँ,157
शहरों,157
मातापिता,157
पु,157
नीति,157
जिम्मेदार,157
हरियाणा,157
जहर,157
घू,157
हंस,157
करौ,157
अजब,157
आभारी,157
बुखार,157
वार्ड,157
पासवान,157
कुटीरात,157
मुसलिम,156
ओबामा,156
आगमन,156
प्रस्तुत,156
पहुँचे,156
नहरो,156
दाम,156
ह्रदयँ,156
कियो,156
सौभाग्य,156
श्रीचैतन्य,156
बोलती,156
प्रवचन,156
समा,156
अखिलेश,156
जिन्हे,156
शुक्ल,156
उड,156
अर्पण,156
सीने,156
सांस,156
तरहा,156
दीवानगी,156
खतरनाक,155
विधि,155
उठाने,155
बरस,155
उदय,155
जख्म,155
कौनसी,155
यतय,155
दुबारा,155
जाई,155
छुप,155
आसपास,155
अरब,155
प्रभाव,155
शोर,155
योग्यता,155
सालासर,155
हैप्पी,154
शुभकामनाए,154
बग,154
छठ,154
ज़िंदगी,154
पाहिजे,154
मैम,154
खर,154
हैन,154
पत्रिका,154
दर्पण,154
जीतने,154
राग,154
होणार,154
तथाकथित,153
थीं,153
सिया,153
हसीं,153
किसको,153
बयान,153
सूचित,153
मन्त्री,153
सहन,153
उत्पन्न,153
पं,153
जिन्हें,152
लौ,152
केन्द्र,152
शिवाजी,152
अंग्रेज,152
लागू,152
बाग,152
माटे,152
थि,152
मुस्कुराने,152
गोस्वामी,152
मुनि,152
पत्ते,152
धार,151
दरवाजे,151
योगेश,151
बडिया,151
पसन्द,151
आखिरी,151
चढाता,151
जानवर,151
पूजन,151
पहुंच,151
शमा,151
लोकतंत्र,151
भरने,151
नहीजो,151
रहीं,151
आवाज़,150
जांच,150
किशोर,150
यकीं,150
मिनिट,150
सलाह,150
क्य,150
बुद्ध,150
हूए,150
कुरो,150
आपले,150
भावा,150
हैहर,150
अनजान,150
सं,150
वर्षा,150
रूक,150
अद्य,150
मैनेतो,150
दृष्टि,149
जाएंगे,149
रुख,149
छोङ,149
कुत्ता,149
लीख,149
मीठी,149
विरोधी,149
अभ्यास,149
प्रेरित,149
व्यर्थ,149
सुमन,149
आलू,149
कें,149
बीस,148
साधना,148
मासूम,148
सेट,148
दुनीया,148
नरेश,148
छुपा,148
बहुगुणा,148
जिंदाबाद,148
खातिर,148
शेष,148
इन्हे,148
मैरी,148
रोना,148
चुनरी,148
क्युं,148
रोजगार,148
निकली,148
गोमाता,148
मुसीबत,148
वर्षो,148
चलाता,148
टिका,147
इरादा,147
नजरो,147
केक,147
सालगिरह,147
घड़ी,147
सालो,147
नवरत्न,147
हैफिर,147
गाड,147
खुबसुरत,147
छोरी,147
साथे,147
अत्यंत,147
बीमा,147
सोचना,147
प्रतिशत,147
भव,147
पड़ेगा,147
इम्तिहान,147
रहामैं,147
केबल,147
गर्भ,146
विनम्र,146
शुरुआत,146
पात्र,146
मतदान,146
बिमारी,146
खाद,146
सकाऴी,146
समिती,146
नाई,146
जिजु,146
कहत,146
हैवह,146
जयंती,146
पीता,146
काबिल,146
राजकुमार,146
बंधन,146
गुरुदेव,146
पढने,146
भिखारी,146
पहाड़ों,145
निसिचर,145
ो,145
लै,145
अभियन्ता,145
अनी,145
यारो,145
गुस्से,145
भस्म,145
ताहि,145
उत्तराखण्ड,145
आऐ,145
काटे,145
मंजिलें,145
बेचने,145
मथुरा,145
मूल्य,145
बुध,145
बनु,145
तुम्हारामैने,145
थाकुछ,145
पढ़े,145
दरिया,145
लगीजाने,145
व्यक्तित्व,145
कोतु,145
ओरघोट,145
किमपि,144
अत,144
हारे,144
रघुपति,144
मधे,144
जाप,144
जनाब,144
गुजराती,144
मिटा,144
जेवण,144
गैर,144
विनती,144
कहेने,144
दक्षिण,144
कोमिल,144
ताई,144
अकबर,144
लड,144
शुभप्रभात,144
गयीं,144
चाहीये,144
हाथी,143
परंतु,143
लीयातुम,143
सोजा,143
गुबार,143
देनी,143
नामऔर,143
ग्रह,143
पलमे,143
उपहार,143
पायल,143
छः,143
हैलेकिन,143
वाणी,143
वरदान,143
अरु,143
क्षण,143
आओगे,143
टोपी,143
रस्ते,143
गर्नु,143
कर्तव्य,143
नेताओं,143
बेनीपुर,143
महाजन,143
हरिनाम,143
बताई,143
समंदर,143
शिखा,143
क्षत्रिय,143
पदाधिकारी,143
समुद्र,143
दूगा,143
जिनको,143
मचा,143
रोने,142
ऋण,142
क्रिकेट,142
शुभकामनाओं,142
लोड,142
खोई,142
हाव,142
बगीया,142
जज,142
लीयाहमतुम,142
अल्लड,142
गुरुद्राराजीन,142
दूरीफिरभी,142
लड़के,142
लीयामै,142
पूरीतुमने,142
पप्पु,142
पतादे,142
शिकार,142
मुकामऔर,142
कांरवागर्द,142
छन,142
कृषि,142
दूलराया,142
कोबेवफाई,142
गाथा,142
शामढक,142
तमामऔर,142
लापताढूंढ,142
कोधूल,142
दिखाथा,142
धुवां,142
शामखो,142
ईनामऔर,142
शामहर,142
शामहो,142
धुवांरास्ता,142
हीरो,142
आयेंगे,142
गोरी,142
ब्रिटिश,142
काॅयम,142
भारतिय,141
मुस्कुरा,141
धनुष,141
टकराता,141
व्यक्ती,141
देहरादून,141
चक्षुः,141
तुझ्या,141
गृह,141
आगया,141
अाऐ,141
संपूर्ण,141
बोर्ड,141
पहूच,141
मूड,141
लिय,141
स्मरण,141
स्थानीय,141
गहेराई,141
सकें,141
बावजूद,141
एका,141
जाँच,141
शामसतीश,141
सुनिल,140
स्व,140
महल,140
किसानों,140
यांच्या,140
व्यापारी,140
थाआगे,140
कार्यवाही,140
भारतीयों,140
निरंतर,140
बनाती,140
चहेरे,140
रहाउसकी,140
कनाला,140
कन,140
अदालत,140
टाटा,140
कुदरत,140
नायक,140
परे,140
आऊ,140
शुभम,140
प्रतिमा,140
नरेंद्र,140
मिरा,140
मैकाॅले,140
जननी,139
मुन्ना,139
मारवाङ,139
खल,139
महिना,139
दिला,139
गायत्री,139
मानसिकता,139
रोशन,139
ओह,139
नां,139
तारी,139
आभी,139
सुनेहरी,139
रहाभूलना,139
रहामेरी,139
पुण्य,139
त्वं,139
झूक,138
निवेश,138
देखिए,138
थीडर,138
झूल,138
रहाकोलेज,138
सांवली,138
हकलाना,138
लीयाऔर,138
कामयाब,138
बांवरी,138
हथियार,138
बंसलभूल,138
कराना,138
घभराता,138
पहन,138
कार्तिक,138
सेन,138
शरण,138
खामोश,138
चिज,138
चारो,138
वाकई,138
अनुज,138
नशे,138
सहि,138
बज,138
सीधे,138
लिखते,138
अपमान,138
सुझाव,138
हैमेरी,138
नराज,138
तरि,138
तार,138
क्रम,138
किससे,138
राणि,138
वस्तु,137
लाश,137
तुमच्या,137
बताए,137
पाच,137
वर्मा,137
कशी,137
हैमेरे,137
पढे,137
वास,137
बकरी,137
टूटा,137
स्वतंत्रता,137
आँनलाईन,137
कचरा,137
ज़माने,137
आरोप,137
कये,137
जादू,137
अज,137
अस्मि,137
तूफान,136
गेला,136
जाऊँ,136
चौकी,136
भूकंप,136
मूजे,136
जांगिङ,136
आजाओ,136
राधेराधे,136
ठण्ड,136
अपेक्षा,136
वजन,136
कीजिए,136
हस्ती,136
रखती,136
तरक्की,136
पधारे,136
रोई,136
यत्,136
यदा,136
राष्ट्रभूमि,136
लव्यू,135
अंग्रेजों,135
सनमतुम,135
सनमतेरी,135
लहेराती,135
महेकने,135
परमरमीटने,135
विचारधारा,135
मांस,135
पश्चिम,135
मदहोश,135
धानी,135
केशव,135
लूट,135
निकलने,135
यहि,135
अहमदाबाद,135
सेकस,135
लगाये,135
बैल,135
विगत,135
बनाता,135
हूये,135
वहि,135
आधे,135
सुनु,135
ठिकैछ,135
थेंकयू,135
कमर,135
बचाओ,135
खेडा,135
गुजरता,135
हान,134
परिक्रमा,134
परिपूर्ण,134
चलाने,134
छोरा,134
पो,134
भ्रष्टाचार,134
बहस,134
माहिर,134
कीआज,134
परशुराम,134
कमाता,134
कामयाबी,134
अन्यथा,134
बूरा,133
पहुँचा,133
ताज,133
त्रास,133
पूर्णिमा,133
सिखाया,133
शो,133
पकड़,133
थोड़ी,133
जन्नत,133
देसी,133
बद,133
मिट,133
हैआज,133
सोई,133
जिनकी,133
ठिकहौ,133
जूते,133
भेजते,133
बाँध,133
नाक,133
गणतंत्र,133
धडकन,133
मैकाले,133
छि,132
फिलम,132
ज़िन्दगी,132
चोली,132
परिभाषा,132
वैज्ञानिक,132
महात्मा,132
कुशल,132
पूछे,132
आफिस,132
प्रसिद्ध,132
रोज़,132
जाके,132
महीना,132
कटै,132
काहि,132
राजे,132
सिवा,132
फितरत,132
आपली,132
कुमारी,132
कपूर,132
साहिल,132
चैक,132
दुकानदार,132
पेङ,132
मीलने,131
रय,131
मेघ,131
देतो,131
देवल,131
करिये,131
परी,131
मरा,131
मोह,131
प्रस्ताव,131
जाया,131
डालो,131
गोड,131
ऊठा,131
आयेगी,131
अाने,131
खाये,131
बिच,131
पड़ता,131
हैकुछ,131
पत्नि,131
राष्ट्रपति,131
मरे,131
चैनल,131
राजधानी,131
करवो,131
बेशुमार,131
धरना,131
रचायी,131
प्रयत्न,131
मजबूरी,131
त्वां,131
फसलों,130
मेंकई,130
गाड़ी,130
सचमुच,130
तेव्हा,130
मुफ्त,130
अागे,130
काँग्रेस,130
दारु,130
करुँगा,130
आँखें,130
पहेले,130
नरेन्द्र,130
नाहीं,130
असते,130
पंच,130
हाहाहा,130
देवताओं,130
ु,130
माथे,130
नाइट,130
जीजी,130
पुरस्कार,130
पूज्यपाद,130
कमेठी,130
कयु,130
दिलाता,130
गयाचांदनी,130
कभीआ,130
गयाधानी,130
बेजाब,130
गयीचांद,130
मेआंसुओ,130
मगरघाट,130
मीलाजबभी,130
उडेखेत,130
होमैं,130
मेरापर,130
गयाईश्क,130
भीगी,130
कदा,130
मुरली,129
अपराध,129
रहस्य,129
जास्त,129
लख,129
लाग,129
रथ,129
बूर,129
पाठक,129
प्रोग्राम,129
जया,129
वाटत,129
फट,129
वृक्ष,129
कराच,129
सरंपच,129
चोदा,129
सठ,129
कलवा,128
जाइ,128
शनि,128
कपड़े,128
पीते,128
ताजमहल,128
बापू,128
दुबई,128
लगाई,128
गर्न,128
भइया,128
प्रदर्शन,128
मक्का,128
तुज,128
तीर,128
लंका,128
सुत,128
तलवार,128
वेऴ,128
हैंऔर,128
रहाखो,128
लालच,128
आदी,128
पढ़ने,128
रेशमी,128
मीलीहश्र,128
संवर,128
गयाजिंदगी,128
सैनिक,128
कराता,128
लीटर,128
पीढ़ी,128
बसा,127
मुस्कुराते,127
देखिये,127
म्,127
ताकी,127
पेड़,127
गरमी,127
जीतना,127
दाता,127
गोद,127
उतार,127
डोर,127
बच्ची,127
गु,127
दीजिये,127
तुरन्त,127
डालकर,127
पङा,127
मैरे,127
उधार,127
सम्पन्न,127
विकट,127
अनजाने,127
मीत्रौ,127
उपचार,127
भूत,127
देवा,127
लालू,126
कडे,126
जोड़,126
नैनो,126
नहाने,126
जस्तो,126
कारन,126
प्रतिदिन,126
जानने,126
दिव्य,126
चादर,126
इसीलिए,126
पछि,126
लड़का,126
तेरि,126
माहित,126
लई,126
आंसू,126
आशिष,126
तीर्थ,126
रामजी,126
बनते,126
अगली,126
कमाण्ड,126
पड़ने,126
अाना,125
तदा,125
तोडते,125
भयउ,125
पर्यायवाची,125
तितली,125
उठाते,125
पन्ने,125
असि,125
अंधेरे,125
पाओगे,125
आँगन,125
साडी,125
नकली,125
शि,125
हीरा,125
प्रदीप,125
पेड़,125
द्वार,125
आग्रह,125
पहिले,125
सम्मानित,125
थोड़ा,125
इलाहाबाद,125
दिली,125
बीना,125
सविधे,125
चरित्र,124
ऊर्जा,124
भेट,124
भार,124
डरता,124
थियो,124
झूठी,124
जाएँ,124
पुर,124
नयन,124
बिलासपुर,124
गाडि,124
हिमाचल,124
कालेज,124
लेगा,124
मर्जी,124
निमंत्रण,124
बहनों,124
रत,124
पीना,124
अबकी,124
मिलेंगे,124
अवकाश,124
शत्रु,124
नहा,124
लक्षण,124
प्रभावित,124
गयीमेरी,124
महाँ,124
दोरान,124
काकंरवा,124
सुरू,124
बाबर,124
बैड,123
हनूमान,123
घणी,123
सजी,123
जाऐ,123
कोआ,123
कौनसा,123
वाद,123
हिनदी,123
ज्योतिष,123
सलमान,123
लागत,123
शाह,123
जैनु,123
पहाड,123
सुनना,123
भगवन,123
बनो,123
सोनु,123
जानकर,123
साधु,123
लगाओ,123
ईन्तजार,123
करम,123
तुमारा,123
झुक,123
जितेन्द्र,123
भूखे,122
रामदेव,122
निकलते,122
सें,122
उजाला,122
संबंधित,122
सवा,122
पलीज,122
दोगे,122
तुझा,122
दशहरा,122
तिला,122
थाहा,122
अतुल,122
बिटिया,122
तेहिं,122
जहांसाथ,122
मगलवार,122
कठोर,122
तारीक,122
औरअगले,122
सोनिया,122
करवाया,122
पाणी,122
आधारित,122
भेजें,122
मौन,122
हूंतुम,122
सूअर,121
पीड़ा,121
पैसों,121
विकसित,121
हल्दी,121
स्वरचक्र,121
बारीश,121
भगवत,121
तुझी,121
लिखता,121
जयादा,121
लागेल,121
आखरी,121
जायेगे,121
ब्रह्म,121
मोटर,121
पुजारी,121
त्योहार,121
तुमारे,121
प्रीति,121
बीमारी,121
तत्व,121
गयाआज,121
शर्त,121
धुन,121
डिव्हीडी,121
लगीसुद,120
लगीकल्पना,120
तोकामना,120
मुद्रा,120
सभ्यता,120
मैनेहाथो,120
सपा,120
आयु,120
अय,120
फेस,120
गहरी,120
खोला,120
अनु,120
तिमि,120
वौ,120
अंश,120
सूट,120
मंद,120
रक्षक,120
जीतमल,120
सादी,120
दावा,120
निशा,120
दुवा,120
खरच,120
बेला,120
वाहवाह,120
अस्तु,120
ऊँचा,119
वन्दे,119
थोङा,119
उठाकर,119
मानस,119
भैंस,119
सन्देश,119
जड़,119
पपी,119
लाजवाब,119
टिक,119
पंचायतराज,119
डाबर,119
अक्षय,119
खाती,119
मानने,119
रावन,119
पकड,119
वेलकम,119
लाइसेन्स,119
गं,119
छेड,119
हस्पताल,119
नादान,119
सतीश,119
मोटा,119
म्हणुन,119
पढ़ा,119
दोषी,119
त्वया,119
कख,118
आमचे,118
बगल,118
राजपूत,118
खड़े,118
ईमानदार,118
साबा,118
प्रेस,118
पूछना,118
रिपोर्ट,118
आहात,118
समन्दर,118
कहु,118
हानि,118
बिचार,118
छोड़ा,118
सघं,118
नम्र,118
करवाना,118
अहमद,118
ईसी,118
हई,118
नीरज,118
फूलो,118
गयीये,118
हैपुलिस,118
कलयुग,118
दुर्घटना,118
मुसलमानों,118
चेतना,118
मरना,118
भ्राता,118
ज्या,118
मुद्दे,118
चुनौतीचलता,118
प्रत्यक्ष,117
कीजो,117
मेहरबानी,117
नेटवर्क,117
जुल्फ,117
अगम,117
हैकाम,117
छुअन,117
केना,117
क्रिया,117
निकलती,117
रुपया,117
सार,117
लाज,117
पहुंचे,117
बहती,117
ज्ञानी,117
अधिकारीयो,117
जाएं,117
हुनर,117
जोडी,117
पर्छ,117
पगार,117
मैनें,117
सुनत,117
समक्ष,117
पड़ा,117
मानवता,117
रोहित,117
अयोध्या,117
मू,117
विराजित,117
ईक,117
पौधे,116
उत्साह,116
दिदि,116
काँल,116
संवाद,116
बतायें,116
भेंट,116
लूँ,116
लागी,116
झकास,116
गज,116
तुम्हाला,116
पालघर,116
मजदूर,116
गोविन्द,116
राशी,116
दीवाने,116
सालवी,116
बेन,116
भीड़,116
भेदभाव,116
आजमाया,116
लिस्ट,116
बारबार,116
प्रमोद,116
पङ,116
चुपके,116
दिदार,116
ठाणे,115
गुरुजी,115
मनोकामना,115
मैरै,115
संपदा,115
बताते,115
जयश्री,115
नाच,115
भात,115
रूपया,115
दौरा,115
शायर,115
चयन,115
ताऊ,115
तिरे,115
वासत,115
समझती,115
ुभ,115
मौसी,115
घोर,115
पिपरी,115
जबकी,115
बाजी,115
सर्वश्रेष्ठ,115
यथा,115
वंश,115
परमपरा,114
बहा,114
भोगता,114
र्स्पश,114
अछी,114
बीजी,114
दिक्कत,114
भव्य,114
प्रक्रिया,114
यारों,114
सेवन,114
जाहिर,114
हैमेरा,114
अंतर,114
कताहो,114
कब्र,114
लाये,114
भगवते,114
जिप,114
संभाल,114
हीरे,114
जावो,114
ओहो,114
ईलाज,114
वाटसप,114
अवस्था,114
पपा,114
क्यौ,114
ादर,114
फूटा,114
ईस्लाम,114
मुल्क,114
उदासी,114
देशों,114
बंगाल,113
आँचल,113
घूमने,113
मनोहर,113
ग्रामिण,113
अरविंद,113
बारात,113
शिकवा,113
सडक,113
पर्स,113
निगम,113
बैक,113
मरीज,113
गोवर्धन,113
हालचाल,113
करन,113
क्यूं,113
मोचन,113
हैदिल,113
संदीप,113
बोस,113
अक्श,113
दबाव,113
जीधर,113
डॉ,113
अशी,113
सुरक्षित,113
अविरल,113
हैजय,113
उमर,113
एकएक,113
येते,113
कभि,113
दिदी,113
सम्यक्,113
गुलज़ार,112
हसीन,112
पू,112
दबा,112
देत,112
सवारी,112
हाहाहाहा,112
अईले,112
जम,112
नवरात्री,112
सुरु,112
शिविर,112
परिसर,112
सरसो,112
आयत,112
उठकर,112
बताव,112
वापसी,112
उल्लेख,112
सर्दी,112
लिखकर,112
पूरवाई,112
नाममैने,112
लीयाजो,112
गयीमुजे,112
अधरो,112
हमनशीये,112
आरमै,112
मजहब,112
हैकानून,112
हमनशीतु,112
हमनशीयुं,112
उन्होनेंबेक़रार,112
