word,value
पुलिस,1203
सुख,1202
सकती,1202
पति,1198
शायद,1197
आती,1192
तुमने,1190
पैसा,1185
बनाने,1179
हिन्दी,1177
पोस्ट,1176
देर,1176
इतनी,1174
आना,1173
तुम्हारे,1172
चाहे,1170
पूरा,1169
रहता,1168
कृपया,1163
लगी,1162
पिता,1162
बाय,1161
रहते,1160
चलो,1153
कैसा,1152
रहने,1151
नई,1149
मजा,1148
कै,1145
माना,1145
चले,1142
कहां,1142
रोज,1141
देखो,1139
रंग,1134
चाहिये,1128
राजा,1121
रात्री,1120
मिलने,1117
भैया,1116
केवल,1112
दर्द,1111
जरूर,1111
होकर,1111
रा,1108
चाहते,1105
मार,1103
अध्यक्ष,1095
मां,1093
हैजुगाड,1090
व्यक्ति,1085
ऊपर,1085
चाहता,1078
लेते,1078
इसी,1077
अनुसार,1077
भजन,1071
मित्र,1070
मात्र,1065
महादेव,1065
चाय,1065
उम्म,1062
गुड,1061
ली,1060
उसी,1059
कौ,1058
जल्दी,1057
जैसा,1053
मान,1053
गऊ,1048
कृष्ण,1046
देव,1045
सत्य,1044
गंग,1044
गाय,1037
पवन,1036
कवि,1034
ईस,1034
इसका,1031
इसके,1028
क्षेत्र,1024
भेजो,1023
खाने,1020
गुरु,1020
सबको,1018
राह,1018
रखा,1012
बीच,1010
रख,1008
तव,1007
जहाँ,1006
स्वामी,1004
करा,1003
उसको,1002
निकल,1001
पीछे,998
ऐक,997
पूजा,996
पत्नी,994
खूब,993
बाप,990
विकास,983
ता,982
पूछा,977
ज्ञान,977
कही,975
पन,975
नै,972
धन,971
नम्बर,971
मुझसे,970
पैसे,964
काल,964
दोनों,958
जरा,954
आते,952
धरती,952
कहीं,950
देवी,948
वहाँ,948
भेजा,946
उनका,946
जायेगा,944
पागल,942
आपसे,941
पद,941
नेता,941
लेने,938
शब्द,937
सदा,936
बंद,934
उन्हें,933
जुलाई,932
पनि,927
फूल,926
खराब,925
बाते,924
रखना,924
ध,923
बहन,923
भाभी,923
रात्रि,912
प्राप्त,907
शेर,905
सके,905
उदास,904
वापस,901
खाली,900
सादर,900
मिली,900
दादा,899
ओके,897
शहर,894
कीया,889
अधिक,887
यादव,884
नंबर,883
आम,878
प्रति,877
जिससे,872
पा,871
करनी,871
रोड,870
सम्मान,867
जि,865
डर,864
वालों,864
तन्हा,863
प्रार्थना,862
देती,860
कहना,858
दें,858
चहेता,858
मामा,855
सुन,854
जरुर,854
काफी,853
बड़ी,852
बच्चों,851
ख,851
